Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Drilling engineer,IT,Increasing,High,Bachelor’s Degree,15,3110,7419,29.42,37.59,India,46.14,85799.26
Marine scientist,Healthcare,Increasing,Moderate,Bachelor’s Degree,15,2374,4925,81.2,76.91,China,54.49,103014.72
Clinical psychologist,Education,Increasing,Moderate,Master’s Degree,12,584,4524,48.59,46.28,Germany,58.97,38665.31
Commercial art gallery manager,Transportation,Increasing,High,Associate Degree,10,8468,4185,12.11,16.25,Germany,78.86,46416.28
Health physicist,Transportation,Increasing,Low,High School,12,4025,8100,46.47,46.59,India,63.82,69571.72
Recycling officer,Transportation,Increasing,Moderate,Bachelor’s Degree,6,143,9807,5.01,38.7,China,36.1,92804.7
Building control surveyor,Education,Increasing,Low,PhD,10,2638,5135,30.84,38.64,USA,74.6,39298.33
Sales executive,Retail,Decreasing,High,Associate Degree,8,7283,1180,65.51,48.8,China,59.21,107059.51
"Surveyor, mining",Manufacturing,Increasing,High,Master’s Degree,9,6862,8281,15.96,83.52,Canada,65.67,35904.84
Further education lecturer,Transportation,Increasing,Low,Bachelor’s Degree,4,3347,2579,84.38,2.11,Canada,59.28,126861.38
"Engineer, structural",IT,Decreasing,High,Associate Degree,0,1830,4225,97.45,71.55,Canada,63.74,122893.93
Financial risk analyst,Manufacturing,Increasing,High,Associate Degree,8,4789,7367,19.67,72.98,Australia,50.91,109966.69
Publishing rights manager,Finance,Decreasing,Low,Bachelor’s Degree,10,5935,9834,1.83,9.11,India,72.16,127307.69
Drilling engineer,Education,Decreasing,Low,PhD,13,2617,9134,62.86,48.61,Brazil,69.16,107690.42
Public librarian,Entertainment,Increasing,Low,Bachelor’s Degree,17,7772,5846,97.91,94.3,Australia,56.78,141922.89
Passenger transport manager,Retail,Decreasing,Low,High School,3,3565,8213,59.99,75.92,Canada,59.62,35983.34
"Teacher, secondary school",IT,Decreasing,Low,Bachelor’s Degree,13,3599,5671,94.37,28.29,Australia,77.49,121331.03
Medical illustrator,Entertainment,Increasing,Moderate,Bachelor’s Degree,0,9505,9788,26.62,71.22,India,48.39,54193.5
Regulatory affairs officer,IT,Increasing,Low,High School,12,6846,8428,14.51,26.04,UK,50.37,82714.38
"Journalist, broadcasting",Education,Increasing,Moderate,High School,12,4355,3441,61.5,78.18,Germany,25.01,53727.7
Civil Service fast streamer,Healthcare,Increasing,Low,Associate Degree,9,9403,9964,46.71,82.36,India,68.37,148384.47
Commercial/residential surveyor,IT,Decreasing,High,High School,9,4681,5759,88.31,32.0,Germany,79.45,72511.93
Secretary/administrator,Manufacturing,Decreasing,Moderate,Master’s Degree,13,5270,9424,70.07,18.35,Brazil,57.6,54472.33
Teaching laboratory technician,Transportation,Increasing,High,PhD,8,281,9937,7.55,12.83,Brazil,55.13,85485.85
Minerals surveyor,Retail,Increasing,High,Bachelor’s Degree,11,1956,719,36.68,49.0,Australia,77.8,131271.87
"Nurse, children's",Retail,Increasing,Moderate,Associate Degree,11,8341,183,38.77,26.53,India,27.72,41419.51
"Psychologist, clinical",Transportation,Increasing,Low,Master’s Degree,1,7425,8011,88.85,36.8,Brazil,36.59,149705.53
Product/process development scientist,Education,Decreasing,Low,Bachelor’s Degree,8,1734,3837,67.22,61.91,India,66.0,135081.39
Geoscientist,Entertainment,Increasing,High,Bachelor’s Degree,19,4777,8678,68.65,55.65,UK,24.86,57395.25
Proofreader,Entertainment,Increasing,Low,Master’s Degree,20,5737,5899,3.16,48.05,Australia,64.48,149500.88
Community pharmacist,Manufacturing,Increasing,Low,PhD,11,1339,2678,22.29,26.7,Canada,41.29,70813.19
Electrical engineer,Manufacturing,Decreasing,High,High School,20,8256,9827,0.74,96.83,Brazil,26.98,105202.83
"Designer, exhibition/display",Manufacturing,Decreasing,High,Master’s Degree,16,9434,7638,21.58,46.2,Brazil,61.7,107913.64
Health promotion specialist,Manufacturing,Increasing,Low,High School,5,6994,2600,9.95,12.91,Canada,30.88,101540.27
Fine artist,Manufacturing,Increasing,Low,Bachelor’s Degree,16,7649,5284,21.48,85.87,Germany,60.59,42898.98
Geophysicist/field seismologist,IT,Decreasing,High,High School,2,3189,2601,80.15,8.47,Germany,38.35,133167.77
"Engineer, building services",IT,Decreasing,Moderate,Associate Degree,0,8710,4448,0.06,85.68,Germany,70.62,73253.65
IT consultant,Healthcare,Decreasing,Moderate,High School,7,5870,9471,4.15,13.34,Germany,58.37,32469.17
Software engineer,Healthcare,Increasing,Low,Bachelor’s Degree,9,7016,1138,76.31,1.35,India,71.61,112106.2
Mudlogger,Education,Decreasing,Low,High School,4,1971,3403,96.9,74.01,Canada,55.67,55085.03
Theatre manager,Finance,Decreasing,Low,Associate Degree,16,377,3483,27.04,98.06,Australia,67.48,38060.58
Communications engineer,Entertainment,Decreasing,High,Associate Degree,4,7785,2062,94.92,40.16,USA,29.01,122827.52
Retail merchandiser,Healthcare,Increasing,Low,Master’s Degree,14,111,5961,45.01,55.44,India,62.54,71647.33
Field seismologist,Manufacturing,Increasing,High,Associate Degree,2,2647,8691,6.26,63.81,China,57.91,115739.64
Community pharmacist,IT,Decreasing,High,PhD,7,4515,2756,38.9,15.04,Australia,21.8,83958.51
Textile designer,Entertainment,Decreasing,Low,PhD,9,980,9544,96.46,72.0,Canada,26.51,32070.75
"Surveyor, building control",Manufacturing,Increasing,Moderate,High School,12,2329,526,61.88,33.62,Germany,61.17,118649.87
Health promotion specialist,IT,Decreasing,Low,Bachelor’s Degree,13,4935,5109,83.56,38.24,USA,47.42,114140.28
Solicitor,Healthcare,Decreasing,Low,Bachelor’s Degree,8,171,6007,32.09,1.21,Canada,51.28,93000.93
Production manager,Education,Increasing,High,High School,9,3317,2400,99.13,25.9,China,75.66,86510.91
Banker,Entertainment,Decreasing,Moderate,Bachelor’s Degree,20,7337,6462,73.5,43.37,Brazil,79.5,121791.02
Naval architect,Healthcare,Increasing,Low,Bachelor’s Degree,15,9187,4925,92.25,46.65,India,74.57,141504.56
Company secretary,IT,Decreasing,Moderate,PhD,1,3467,8575,79.8,27.1,China,59.1,148122.04
Environmental consultant,Finance,Increasing,Low,High School,1,3802,4004,74.25,30.59,China,35.83,134461.3
Horticultural therapist,IT,Increasing,High,Bachelor’s Degree,11,2363,8673,66.36,25.1,USA,62.23,43147.42
Research scientist (maths),Finance,Decreasing,Low,High School,15,3624,9584,70.5,25.45,Brazil,21.74,94011.04
Network engineer,IT,Increasing,Moderate,PhD,19,7908,8381,89.07,39.11,India,65.52,83086.38
Commissioning editor,Retail,Decreasing,High,Associate Degree,3,1265,9103,30.22,18.12,Germany,75.06,88534.39
Radio broadcast assistant,Transportation,Decreasing,Low,Bachelor’s Degree,20,3910,2690,97.01,58.07,USA,40.18,32202.96
"Horticulturist, commercial",Entertainment,Decreasing,Low,Associate Degree,17,4333,3245,97.52,78.86,Canada,63.46,87141.91
Medical sales representative,Retail,Increasing,High,Master’s Degree,3,8214,8945,47.11,84.45,Germany,72.08,137832.25
"Engineer, structural",Education,Decreasing,Moderate,Bachelor’s Degree,20,2283,8267,75.42,57.46,Canada,72.7,40428.85
"Development worker, international aid",Healthcare,Decreasing,High,High School,0,5153,9504,40.84,26.2,UK,53.77,77199.12
Geochemist,Finance,Increasing,High,PhD,7,1750,8333,11.92,26.92,India,56.03,87014.07
Visual merchandiser,Entertainment,Decreasing,Low,Bachelor’s Degree,20,551,3837,3.6,14.42,China,68.14,38687.45
"Programmer, systems",Healthcare,Decreasing,High,High School,5,658,3273,17.65,6.61,UK,49.73,51078.05
Chartered public finance accountant,Education,Decreasing,Low,High School,5,6239,2902,20.64,8.88,Brazil,41.49,79141.72
Financial controller,IT,Decreasing,Moderate,Bachelor’s Degree,16,7006,2525,57.1,14.72,Brazil,48.08,139890.04
"Teacher, special educational needs",Retail,Increasing,High,Bachelor’s Degree,6,9402,5478,71.64,68.74,Australia,70.53,79194.96
Equities trader,Finance,Decreasing,Low,Bachelor’s Degree,15,2827,664,1.64,71.51,China,60.69,74922.92
Patent examiner,Finance,Increasing,Low,Associate Degree,9,7847,2677,16.99,42.13,USA,37.19,134556.44
"Therapist, music",Transportation,Decreasing,Low,PhD,0,3337,5794,79.19,90.86,China,75.88,32074.51
Medical sales representative,Retail,Decreasing,Low,Master’s Degree,10,7906,9623,74.44,77.41,Australia,76.0,72389.04
Retail buyer,Education,Increasing,Moderate,PhD,19,7008,7060,99.81,20.32,Canada,77.95,37214.68
Furniture conservator/restorer,Finance,Decreasing,Moderate,High School,0,5713,583,98.91,32.23,USA,29.45,40120.98
"Surveyor, mining",Finance,Increasing,Moderate,PhD,2,4659,9632,31.84,36.56,Brazil,26.36,58470.87
Purchasing manager,Transportation,Increasing,Low,High School,4,1435,6721,54.08,20.53,India,60.25,117412.63
Barrister,Entertainment,Increasing,Moderate,Associate Degree,8,8871,9419,40.24,80.8,Brazil,28.68,112677.18
"Surveyor, insurance",Manufacturing,Decreasing,Moderate,PhD,13,2480,2632,93.23,97.96,Germany,67.19,90352.28
Dispensing optician,Education,Increasing,Low,Master’s Degree,9,4667,6753,85.2,24.7,India,67.78,144050.04
Media buyer,Manufacturing,Increasing,Low,PhD,2,2252,1420,25.23,65.72,UK,33.27,51521.6
Engineering geologist,Retail,Increasing,Low,PhD,2,6197,718,29.03,26.28,USA,51.05,128715.48
Location manager,Transportation,Increasing,Low,High School,10,316,6617,43.49,87.46,UK,71.1,128987.36
Careers information officer,Healthcare,Decreasing,High,Bachelor’s Degree,3,7007,6861,39.76,35.46,Brazil,78.81,46370.32
"Therapist, sports",Retail,Decreasing,High,PhD,12,693,6101,31.14,43.39,UK,72.41,73183.57
Lobbyist,Education,Decreasing,Moderate,Bachelor’s Degree,9,5949,1875,11.49,72.62,Australia,70.14,51785.43
"Programmer, multimedia",Transportation,Decreasing,Low,Bachelor’s Degree,1,665,3888,44.05,52.36,USA,37.45,132501.38
Furniture conservator/restorer,Healthcare,Increasing,Low,Master’s Degree,19,6401,5950,2.18,32.16,Australia,65.64,46571.21
"Surveyor, quantity",Entertainment,Decreasing,High,Bachelor’s Degree,6,5053,2152,66.18,4.21,Germany,33.71,148657.2
Theatre director,Healthcare,Increasing,Moderate,PhD,19,1016,3212,22.52,42.47,Australia,58.74,72920.13
Clinical biochemist,Retail,Increasing,High,Associate Degree,1,9187,4977,48.3,3.43,Australia,78.27,90277.43
"Librarian, public",Retail,Increasing,High,Bachelor’s Degree,7,5375,3604,81.85,12.67,India,68.85,115492.77
Chief Financial Officer,Retail,Increasing,Low,Associate Degree,15,5931,8647,94.98,51.71,UK,62.47,68778.25
"Conservator, furniture",Education,Decreasing,Low,Bachelor’s Degree,20,8150,6820,30.8,41.16,India,34.06,79131.21
"Merchandiser, retail",Retail,Increasing,Low,High School,13,2648,642,92.95,14.83,UK,79.09,68468.57
Chartered management accountant,IT,Decreasing,Low,Bachelor’s Degree,8,5463,4544,41.99,78.78,UK,62.56,135013.24
"Education officer, community",Healthcare,Decreasing,High,Associate Degree,14,7404,796,41.88,42.23,UK,20.7,149525.61
Multimedia specialist,Transportation,Decreasing,High,High School,7,7527,9149,89.3,9.45,China,24.2,94505.84
Armed forces technical officer,Retail,Increasing,Moderate,PhD,13,8317,9078,84.29,29.58,India,53.79,52060.54
Quarry manager,Healthcare,Increasing,High,Associate Degree,9,2618,5078,91.62,25.88,UK,63.11,55777.32
"Therapist, speech and language",Entertainment,Decreasing,Low,Master’s Degree,6,692,1016,69.66,77.19,USA,69.24,59488.14
Fisheries officer,Entertainment,Increasing,Moderate,PhD,10,4978,6134,36.4,84.68,USA,36.83,35169.82
"Education officer, museum",Entertainment,Increasing,Moderate,Master’s Degree,14,3250,2918,47.07,90.3,UK,43.15,37758.09
Oceanographer,IT,Decreasing,Low,Master’s Degree,9,9282,7669,68.87,42.19,Australia,27.62,72264.25
"Teacher, adult education",Transportation,Decreasing,Moderate,Bachelor’s Degree,8,3586,1354,13.02,27.62,UK,63.75,103198.79
"Engineer, aeronautical",Entertainment,Decreasing,High,Bachelor’s Degree,4,5541,5526,97.31,13.13,UK,66.67,102393.2
Best boy,Healthcare,Decreasing,Low,Associate Degree,20,973,7041,55.74,33.87,Brazil,44.11,70759.34
"Engineer, maintenance",Healthcare,Decreasing,Moderate,Associate Degree,6,7247,4789,97.47,27.39,Germany,27.58,101018.65
Colour technologist,Entertainment,Decreasing,Low,Associate Degree,10,9877,4374,28.64,89.96,Germany,60.73,112147.99
Technical author,Retail,Decreasing,High,Associate Degree,4,7294,2382,81.86,66.4,Australia,70.72,95456.13
Pensions consultant,Finance,Increasing,Low,Bachelor’s Degree,14,8490,5858,48.33,79.77,Canada,23.78,148219.2
Field seismologist,Healthcare,Increasing,Moderate,Associate Degree,14,814,8722,2.85,78.33,UK,65.76,38499.85
"Teacher, special educational needs",Healthcare,Decreasing,Moderate,Associate Degree,3,2451,1032,73.89,73.48,Brazil,41.03,136395.86
Geochemist,Finance,Increasing,Low,Associate Degree,17,4559,256,53.4,27.57,China,23.1,59837.33
"Surveyor, building",Healthcare,Decreasing,High,Master’s Degree,16,8792,6136,14.65,96.98,Germany,68.88,58689.82
Product/process development scientist,Entertainment,Increasing,Moderate,Associate Degree,6,9137,4306,71.6,46.5,Germany,68.97,97802.82
Administrator,Finance,Decreasing,Moderate,PhD,9,3278,9876,26.32,57.71,India,28.58,98194.64
"Engineer, site",Transportation,Increasing,Low,Master’s Degree,10,3625,6943,26.02,41.48,Canada,71.32,47184.7
Product designer,Education,Decreasing,High,PhD,13,7474,1933,53.66,51.44,Australia,53.66,77395.0
Intelligence analyst,Education,Decreasing,Low,Associate Degree,7,4331,6536,52.83,62.98,India,43.25,124024.71
Brewing technologist,Manufacturing,Increasing,Low,Master’s Degree,1,627,236,89.63,77.63,China,42.37,95463.47
Senior tax professional/tax inspector,Retail,Increasing,High,PhD,0,5913,6384,33.36,50.62,India,25.93,33518.3
"Journalist, broadcasting",Entertainment,Decreasing,Moderate,High School,5,2280,7078,95.31,25.9,USA,64.3,87679.02
Furniture designer,Manufacturing,Decreasing,High,Master’s Degree,5,7693,9970,47.77,58.77,Germany,71.26,30667.37
Architectural technologist,Transportation,Decreasing,High,PhD,13,4915,9889,15.52,73.72,China,68.65,135066.95
Architect,Finance,Decreasing,Low,Bachelor’s Degree,0,2060,5799,79.99,1.1,Germany,46.42,57530.23
Mining engineer,Retail,Increasing,High,Bachelor’s Degree,11,2428,5145,84.83,65.29,China,24.2,57817.22
"Teacher, adult education",IT,Increasing,Moderate,High School,16,4465,4332,62.34,51.78,Brazil,79.5,55584.58
Fashion designer,Education,Decreasing,Low,Associate Degree,0,1501,3422,2.98,88.1,Canada,32.31,33289.62
Retail buyer,IT,Decreasing,Moderate,Associate Degree,13,7823,2483,95.34,80.15,UK,65.9,102986.16
Television/film/video producer,Education,Increasing,Low,Master’s Degree,5,5217,7530,75.08,81.76,Australia,72.11,90571.98
"Producer, radio",Transportation,Decreasing,Moderate,High School,18,8789,5798,54.71,44.24,China,25.2,64337.15
"Administrator, charities/voluntary organisations",Education,Increasing,Low,Master’s Degree,17,5636,4615,97.08,64.36,China,38.25,38410.65
"Production assistant, radio",Healthcare,Increasing,High,Bachelor’s Degree,0,3173,1937,33.95,31.82,Canada,64.46,104337.69
"Administrator, education",Healthcare,Decreasing,Low,PhD,13,8180,3814,68.31,62.59,USA,67.18,98322.27
"Surveyor, building",Education,Increasing,Moderate,Bachelor’s Degree,8,5083,9704,44.99,97.63,UK,65.88,102671.39
Architectural technologist,Retail,Increasing,Moderate,Bachelor’s Degree,6,4532,8658,34.21,78.51,Germany,75.52,93845.59
"Lecturer, higher education",IT,Increasing,Low,Associate Degree,11,3496,509,42.52,21.7,Australia,66.74,40087.86
"Programmer, multimedia",IT,Decreasing,High,Bachelor’s Degree,19,6343,5735,93.24,31.82,Germany,41.24,108109.43
"Copywriter, advertising",Healthcare,Decreasing,Low,High School,2,9636,1303,3.03,12.74,Australia,34.67,77443.13
"Nurse, learning disability",Healthcare,Increasing,High,Master’s Degree,2,8203,7507,46.07,68.38,Canada,42.41,71736.61
Horticultural consultant,Manufacturing,Increasing,Low,High School,11,3968,2737,49.46,72.94,China,74.18,67178.44
Theatre stage manager,Healthcare,Increasing,Moderate,PhD,19,1294,4384,75.17,80.31,Germany,24.02,116501.16
Community development worker,Education,Decreasing,Moderate,Associate Degree,10,2810,3707,83.15,23.28,UK,39.84,35027.95
Rural practice surveyor,Entertainment,Decreasing,Low,High School,3,6255,7605,63.01,32.7,Germany,59.19,92321.26
"Scientist, clinical (histocompatibility and immunogenetics)",Transportation,Increasing,Moderate,Bachelor’s Degree,5,8972,2795,84.37,43.64,Australia,43.39,43646.84
Air broker,Finance,Decreasing,High,PhD,2,4566,2505,89.16,45.33,Germany,63.93,142813.57
"Surveyor, insurance",Finance,Increasing,Low,Master’s Degree,13,6372,8038,53.63,93.81,UK,32.73,57325.59
Hydrographic surveyor,Transportation,Decreasing,Low,Associate Degree,8,1506,6545,51.27,91.65,Canada,21.43,58983.53
"Administrator, sports",Manufacturing,Decreasing,Moderate,Master’s Degree,16,277,9210,98.09,4.79,Australia,63.94,101779.66
"Engineer, control and instrumentation",Finance,Decreasing,Low,Associate Degree,2,7028,9763,3.92,3.82,India,35.34,126396.21
Manufacturing systems engineer,Finance,Increasing,High,Master’s Degree,13,9857,1023,43.17,82.63,Australia,37.22,121805.35
Adult nurse,Retail,Decreasing,Low,Master’s Degree,9,5509,6386,93.18,50.42,USA,49.06,129163.03
Product manager,IT,Increasing,Low,High School,1,523,457,41.22,86.74,USA,60.72,74195.22
Operational investment banker,Healthcare,Decreasing,Low,Master’s Degree,9,8025,4020,31.25,1.75,Germany,58.81,140038.94
Risk manager,Transportation,Decreasing,Low,High School,13,8296,9168,99.52,35.63,Brazil,51.18,37807.8
Clinical embryologist,Manufacturing,Decreasing,Low,PhD,3,3877,7259,77.07,13.06,UK,71.23,112732.97
Theatre director,Finance,Decreasing,Moderate,Associate Degree,11,8335,826,67.72,2.35,China,30.27,141795.75
Insurance broker,Manufacturing,Decreasing,Low,Associate Degree,19,1657,169,38.35,51.69,Australia,75.09,67254.04
"Production assistant, television",Healthcare,Decreasing,Low,Master’s Degree,16,3990,9546,93.77,67.3,China,46.17,95631.96
Equality and diversity officer,Entertainment,Increasing,High,Master’s Degree,19,407,1663,41.48,23.64,UK,48.24,71861.41
Radio broadcast assistant,Finance,Decreasing,Moderate,PhD,14,4586,7551,1.4,58.22,Germany,61.76,132991.08
"Copywriter, advertising",Manufacturing,Decreasing,Low,PhD,6,573,7050,66.86,65.89,USA,62.87,40338.37
Armed forces technical officer,Manufacturing,Decreasing,Moderate,High School,10,1411,6189,70.25,77.71,USA,25.62,95693.37
Marketing executive,IT,Increasing,High,Bachelor’s Degree,16,5305,7011,28.57,98.85,Brazil,37.17,86833.2
Industrial/product designer,Entertainment,Decreasing,Moderate,Master’s Degree,5,5258,9717,13.21,28.56,China,64.84,30354.58
Intelligence analyst,Transportation,Decreasing,High,Associate Degree,14,1045,6732,21.41,43.66,India,62.88,129666.22
Cabin crew,Entertainment,Increasing,Moderate,Master’s Degree,1,9253,9309,17.43,58.16,Australia,67.88,113951.12
Accounting technician,Finance,Decreasing,High,High School,5,7117,2283,43.94,26.98,China,21.68,81406.11
Furniture designer,Education,Decreasing,High,PhD,12,8135,2350,68.05,91.78,India,58.19,117019.35
Network engineer,Transportation,Decreasing,High,Master’s Degree,5,9411,7766,7.16,12.35,Australia,69.3,91834.74
Medical laboratory scientific officer,Finance,Increasing,Low,Bachelor’s Degree,7,781,5894,31.76,13.39,China,73.19,33275.96
Insurance risk surveyor,Entertainment,Decreasing,Moderate,Associate Degree,13,2086,4175,53.23,79.91,UK,60.04,80453.97
Personal assistant,IT,Decreasing,High,Associate Degree,11,525,8518,42.46,3.2,Canada,20.93,102745.67
Acupuncturist,Retail,Increasing,Moderate,Bachelor’s Degree,14,9019,4168,89.84,36.58,Australia,48.01,72959.41
Acupuncturist,IT,Increasing,Moderate,Associate Degree,11,1058,4171,80.74,97.45,UK,77.86,144828.98
Theatre stage manager,Manufacturing,Increasing,Moderate,PhD,1,5795,5512,59.37,82.65,Brazil,70.78,80978.3
Industrial buyer,Retail,Increasing,Moderate,Master’s Degree,17,2730,6896,59.87,9.64,India,44.0,104881.55
"Radiographer, diagnostic",Manufacturing,Decreasing,High,High School,17,9961,6741,45.79,61.05,China,37.49,114542.14
"Sales professional, IT",Manufacturing,Increasing,Moderate,PhD,11,1133,5656,24.5,16.62,UK,53.6,94513.03
"Secretary, company",Retail,Increasing,High,Master’s Degree,11,5997,3425,98.96,9.51,Germany,61.76,52712.76
IT trainer,Retail,Increasing,Low,Bachelor’s Degree,10,3760,8196,85.04,98.7,Canada,26.8,85722.79
Pharmacologist,Healthcare,Decreasing,Moderate,Associate Degree,14,3227,6573,94.76,76.38,USA,40.14,84811.49
Minerals surveyor,Education,Increasing,Moderate,PhD,4,3299,1626,58.12,83.72,Australia,50.47,42564.87
Pensions consultant,Education,Decreasing,High,Master’s Degree,10,6493,133,68.92,3.37,USA,66.33,138551.87
"Accountant, chartered management",Education,Decreasing,Low,Associate Degree,18,6096,7937,31.8,61.56,UK,76.14,72172.06
Newspaper journalist,Transportation,Increasing,High,Associate Degree,8,6395,2433,55.83,10.66,Canada,24.77,106514.87
Agricultural consultant,Entertainment,Increasing,Low,Associate Degree,16,1892,1820,79.15,89.68,China,62.9,45103.25
English as a second language teacher,Entertainment,Decreasing,High,Master’s Degree,16,8196,6607,28.78,62.53,India,56.39,127171.61
"Engineer, broadcasting (operations)",Retail,Decreasing,Moderate,High School,16,8794,971,52.05,49.12,USA,28.98,94495.63
"Accountant, chartered certified",IT,Increasing,High,Bachelor’s Degree,12,9116,208,38.85,57.88,Australia,56.45,36799.82
Television production assistant,Transportation,Decreasing,Low,Bachelor’s Degree,15,675,4612,32.4,82.65,Germany,71.46,53484.77
Materials engineer,IT,Increasing,Moderate,Master’s Degree,0,3991,6884,85.53,51.58,UK,55.08,49052.77
Energy manager,Finance,Increasing,Low,PhD,4,5788,4724,85.32,75.28,Australia,53.7,36777.97
Occupational therapist,Finance,Decreasing,High,PhD,1,3690,5921,45.73,91.91,Brazil,33.5,83076.4
Biomedical engineer,IT,Decreasing,Moderate,PhD,10,5042,7165,56.38,8.81,UK,53.61,67467.09
"Editor, commissioning",Entertainment,Decreasing,High,Bachelor’s Degree,3,8527,2526,99.86,73.53,India,74.29,37099.43
Mining engineer,IT,Decreasing,Moderate,PhD,4,1885,8800,78.25,57.43,Canada,70.55,98357.97
Farm manager,Manufacturing,Increasing,High,Associate Degree,1,390,9257,36.55,95.61,India,37.14,84147.6
"Programmer, multimedia",Transportation,Increasing,Moderate,PhD,18,2283,8787,55.89,72.93,UK,45.28,53202.25
Health visitor,Manufacturing,Decreasing,Moderate,Bachelor’s Degree,7,3879,3927,19.43,48.57,Germany,52.65,87200.47
Gaffer,Retail,Increasing,Low,High School,9,9000,4299,36.92,17.77,UK,61.06,34509.91
"Therapist, music",Manufacturing,Increasing,Moderate,Bachelor’s Degree,11,9985,4260,3.94,45.65,India,59.92,62489.14
"Conservator, museum/gallery",IT,Increasing,Moderate,High School,6,9128,7649,58.91,72.17,Germany,33.85,106155.48
Environmental education officer,Healthcare,Increasing,Moderate,Associate Degree,15,5049,8227,42.84,31.9,China,21.06,147131.81
Fast food restaurant manager,IT,Decreasing,High,Bachelor’s Degree,19,6105,5276,28.97,3.94,Germany,49.88,94103.94
Claims inspector/assessor,Retail,Increasing,Low,PhD,1,3318,3867,53.95,29.56,India,37.68,93044.98
"Surveyor, hydrographic",Manufacturing,Increasing,High,PhD,0,2883,5508,22.66,40.69,Australia,57.07,104873.12
Industrial/product designer,IT,Increasing,Low,Master’s Degree,17,3146,8594,1.3,35.82,Australia,56.96,149150.37
Dentist,Manufacturing,Increasing,Moderate,Master’s Degree,13,1435,6031,29.23,35.34,Germany,22.84,119163.96
Child psychotherapist,Retail,Increasing,High,Associate Degree,13,2014,9917,92.38,22.99,India,31.26,63411.16
Copy,Manufacturing,Decreasing,Low,Associate Degree,17,1637,8700,7.74,7.88,Australia,49.4,57163.71
Facilities manager,Manufacturing,Increasing,High,High School,3,4611,7657,14.1,26.51,Germany,71.29,57047.49
Chartered public finance accountant,IT,Increasing,High,High School,6,6236,6409,49.09,23.28,India,48.04,67982.02
Farm manager,Healthcare,Decreasing,High,PhD,1,6974,3786,35.02,19.34,China,53.03,82024.01
Housing manager/officer,Entertainment,Decreasing,High,Bachelor’s Degree,10,4757,7090,61.46,93.26,Germany,58.2,86413.02
Chartered management accountant,Healthcare,Decreasing,High,High School,4,1771,5503,54.25,12.52,Australia,46.09,59830.23
"Horticulturist, commercial",Entertainment,Decreasing,Moderate,PhD,2,1547,8016,95.26,26.59,Germany,73.97,48202.31
Youth worker,Education,Decreasing,Moderate,High School,20,8949,8772,25.43,66.91,India,77.28,63573.69
Recruitment consultant,Entertainment,Increasing,Low,Associate Degree,2,7700,8670,56.87,95.96,Australia,25.76,116701.6
Occupational psychologist,Transportation,Decreasing,Low,Associate Degree,10,3381,4590,18.67,61.61,USA,42.03,75795.47
Educational psychologist,Entertainment,Increasing,Low,Master’s Degree,11,3365,1426,76.22,6.45,Canada,48.51,54158.89
"Librarian, public",Education,Decreasing,High,Associate Degree,17,7731,5767,34.97,25.02,Australia,78.14,130757.58
Chiropractor,Retail,Increasing,Low,PhD,10,3005,2028,24.98,71.51,Canada,61.84,41432.25
Maintenance engineer,Entertainment,Increasing,Low,Associate Degree,6,9543,9800,49.03,99.73,USA,76.19,82505.3
"Designer, ceramics/pottery",Education,Increasing,Moderate,High School,13,3064,6827,30.5,48.13,India,59.33,62340.11
Systems analyst,Education,Decreasing,Moderate,PhD,13,511,222,0.49,27.35,UK,38.0,134320.93
Rural practice surveyor,Transportation,Decreasing,High,Associate Degree,0,1434,8201,0.43,97.27,Canada,56.4,75419.39
Public affairs consultant,Healthcare,Increasing,Moderate,PhD,0,8333,8280,74.47,72.43,USA,24.71,69701.12
Maintenance engineer,Entertainment,Increasing,Low,PhD,20,9309,2406,22.21,43.93,USA,79.27,77917.98
Podiatrist,Education,Increasing,High,Master’s Degree,16,5805,4011,99.89,58.85,Canada,33.86,36540.04
Sport and exercise psychologist,IT,Increasing,High,Bachelor’s Degree,11,8416,8372,27.63,32.58,Canada,74.94,41526.92
Air traffic controller,Finance,Increasing,High,Master’s Degree,15,8478,9755,39.28,72.31,Brazil,36.43,118496.57
"Optician, dispensing",Finance,Decreasing,High,Bachelor’s Degree,16,2661,3257,97.98,53.57,China,26.34,79028.29
"Designer, jewellery",Transportation,Increasing,High,PhD,3,2549,1569,78.55,16.68,Australia,77.07,31756.73
Further education lecturer,IT,Increasing,Moderate,Master’s Degree,7,6576,8532,17.04,15.02,USA,69.57,45337.48
"Investment banker, corporate",IT,Increasing,High,High School,7,7821,814,0.67,15.75,USA,48.24,135619.0
Adult guidance worker,Manufacturing,Decreasing,Moderate,PhD,19,9944,2917,94.41,62.58,India,77.71,34556.25
Primary school teacher,Retail,Increasing,High,High School,6,5618,6154,73.22,20.18,China,46.87,109530.56
Dealer,Transportation,Decreasing,Moderate,Associate Degree,4,983,8446,71.28,44.37,USA,49.22,126221.13
Forensic scientist,Entertainment,Decreasing,Moderate,Master’s Degree,0,6275,7850,78.85,10.2,Canada,71.85,138097.91
"Education officer, environmental",Retail,Decreasing,Moderate,Bachelor’s Degree,6,3012,2747,25.62,84.29,China,32.07,37435.97
Insurance claims handler,Education,Decreasing,High,PhD,15,6371,2968,6.34,7.63,Germany,76.65,63416.98
